CID	LBC 1	LBCeq	pH 2	Ca	K	Mg	Mn	P	Zn
240515	248	722	6.46	600	93.7	107.6	30.26	20.32	1.82
240516	206	568	5.20	259	81.3	33.1	18.76	13.75	3.18
240518	208	575	6.20	520	76.2	89.8	25.74	16.40	2.27
240519	223	630	5.89	391	51.6	81.5	19.16	10.91	1.84
240520	214	597	5.91	512	79.1	68.8	27.36	16.68	1.80
240522	175	454	5.91	378	43.3	35.8	21.31	11.47	1.45
240523	181	476	5.84	322	43.4	38.7	20.58	9.30	1.28
240524	199	542	5.50	293	56.1	35.8	24.94	9.59	1.95
240526	161	403	6.02	433	45.2	52.7	19.18	10.55	1.56
240527	152	370	5.92	316	35.7	44.3	16.62	9.23	1.87
240528	160	399	6.27	469	44.9	75.1	14.78	23.67	1.71
240530	211	586	6.70	720	95.2	102.7	17.66	20.76	2.75
240531	204	561	6.60	622	55.0	107.4	15.33	13.32	1.87
240532	168	428	6.69	443	33.7	57.3	14.99	14.65	1.79
240534	133	300	6.38	431	43.2	34.9	15.95	17.12	2.43
240535	138	318	6.36	406	37.4	49.1	17.25	15.13	1.55
240536	153	373	5.99	360	29.9	45.5	15.47	11.33	2.11
240538	171	439	6.16	275	36.0	58.0	10.62	6.21	1.16
240539	157	388	6.06	289	39.1	54.2	11.36	4.45	1.08
240540	218	612	5.09	267	115.1	88.2	13.82	8.17	1.45
240542	186	495	5.48	349	43.6	33.4	14.19	17.88	2.63
240543	174	450	5.56	294	43.1	32.0	12.54	17.16	2.25
240544	199	542	5.59	262	78.5	54.9	13.28	4.22	0.47
240546	217	608	5.24	251	56.0	26.2	23.11	17.42	2.32
240547	207	572	5.22	253	43.3	22.4	19.41	23.39	2.33
240548	112	223	5.48	131	10.8	14.0	7.03	5.10	1.01
240550	200	546	5.97	405	36.9	28.9	20.60	11.10	1.43
240551	184	487	6.09	409	46.9	46.9	21.37	14.26	1.43
240552	207	572	6.10	407	60.4	45.2	23.69	11.03	2.03
240554	207	572	6.28	407	57.4	43.9	20.50	8.61	0.40
240555	216	605	6.06	327	81.3	77.4	16.11	4.92	0.38
240556	167	425	5.62	292	29.8	38.4	18.72	7.45	2.89
240558	156	384	5.78	302	29.6	34.5	16.39	10.33	2.21
240559	143	337	6.04	267	36.9	37.5	14.50	9.89	2.18
240560	148	355	6.55	325	32.4	61.8	10.63	3.90	1.01
240562	134	304	6.29	232	44.8	43.2	11.82	17.29	1.24
240563	137	315	6.22	183	19.6	29.7	9.27	14.09	0.95
240564	139	322	6.56	320	27.6	40.5	11.42	15.35	1.49
240566	133	300	6.27	250	25.0	43.5	11.07	11.32	2.08
240567	125	271	6.20	222	19.1	29.1	9.88	11.50	1.35
240568	240	693	5.93	525	245.0	52.5	26.36	17.60	3.35
240570	180	473	5.59	324	25.2	36.2	15.58	9.79	2.74
240571	158	392	5.96	266	27.6	36.1	11.94	13.32	6.07
240572	150	362	5.64	178	57.5	23.6	10.07	3.30	0.76
240574	169	432	6.14	338	53.7	46.1	12.95	4.94	2.03
