Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body
21,250382,Bt2,Probe,,73-113,40,C,10YR5/6,,Not Found,,,,,2MSBK,,Fe VF,4/16/2025,,,,,,,
21,250383,Bt3,Probe/Auger,,113-152+,39,,10YR5/8,,Not Found,,,,,2MSBK,,Fe VF,4/16/2025,,,,,,,
22,250384,Ap,Probe,,0-22,22,,10YR3/3,,Not Found,,,,,1MGr,,,4/16/2025,,,,,,,
22,250385,BA,Probe,,22-41,19,,7.5YR4/4,,Not Found,,,,,2CoSBK,,"org stains, charcoal",4/16/2025,,,Yes,,,,
22,250386,Bt1,Probe,,41-88,47,,5YR4/6,,Not Found,,,,,2CoSBK,,org stains,4/16/2025,,,,,,,
22,250387,Bt2,Probe/Auger,,88-125,37,,5YR4/8,,Not Found,,,,,2CoSBK,,VF roots,4/16/2025,,,,,,,
22,250388,Bt3,Auger,,125-150+,25,,7.5YR5/8,,Not Found,,,,,2CoSBK,,,4/16/2025,,,,,,,
23,240341,Ap1,Auger,Dothan,0-18,18,A,10YR4/3,5.075,86.1,8.825,LS,,,1FGr,VFR,,5/29/2024,,,,,,,
23,240342,Ap2,Auger,Dothan,18-32,14,C,10YR4/3,4.955,86.95,8.095,LS,,,1MSBK,VFR,,5/29/2024,,,,,,,
23,240343,Bt1,Auger,Dothan,32-65,33,C,10YR5/6,22.25,65.5,12.25,SCL,,,2MSBK,FR,,5/29/2024,,,,,,,
23,240344,Bt2,Auger,Dothan,65-100,35,C,10YR5/6,21.8,67.65,10.55,SCL,SCL,,2MSBK,FR,3% 7.5YR 5/8 concentration (small/fine). Few pieces of uncoated sand grain (1-2 cm in length).,5/29/2024,,,,,Yes,,
23,240345,Btv,Auger,Dothan,100-159+,49,,10YR5/6,19.45,71.3,9.25,SL,SCL,,2MSBK,FR,1% 5YR 5/8 concentraation (fine). ~2% 7.5YR 4/6 plinthite nodules,5/29/2024,,,,,Yes,,
24,250389,Ap,Probe,Stilson?,0-35,35,C,10YR3/2,,Not Found,,,,,1MGr,,many VF roots,4/17/2025,,,,,,,
24,250390,AB,Probe,Stilson?,35-60,25,Gr,10YR3/1,,Not Found,,,,,2MSBK,,few VF roots,4/17/2025,,,,,,,
